,timestamp,predicted_label
671,1536664305092,Liegen
672,1536664315092,Non-Liegen
673,1536664325092,Non-Liegen
674,1536664335092,Non-Liegen
675,1536664345092,Non-Liegen
676,1536664355092,Non-Liegen
677,1536664365092,Non-Liegen
678,1536664375092,Non-Liegen
679,1536664385092,Non-Liegen
680,1536664395092,Non-Liegen
681,1536664405092,Non-Liegen
682,1536664415092,Non-Liegen
683,1536664425092,Non-Liegen
684,1536664435092,Non-Liegen
685,1536664445092,Non-Liegen
686,1536664455092,Non-Liegen
687,1536664465092,Non-Liegen
688,1536664475092,Non-Liegen
689,1536664485092,Non-Liegen
690,1536664495092,Non-Liegen
691,1536664505092,Non-Liegen
692,1536664515092,Non-Liegen
693,1536664525092,Non-Liegen
694,1536664535092,Non-Liegen
695,1536664545092,Non-Liegen
696,1536664555092,Non-Liegen
697,1536664565092,Non-Liegen
698,1536664575092,Non-Liegen
699,1536664585092,Non-Liegen
700,1536664595092,Non-Liegen
701,1536664605092,Non-Liegen
702,1536664615092,Non-Liegen
703,1536664625092,Non-Liegen
704,1536664635092,Non-Liegen
705,1536664645092,Non-Liegen
706,1536664655092,Non-Liegen
707,1536664665092,Non-Liegen
708,1536664675092,Non-Liegen
709,1536664685092,Non-Liegen
710,1536664695092,Non-Liegen
711,1536664705092,Non-Liegen
712,1536664715092,Non-Liegen
713,1536664725092,Non-Liegen
714,1536664735092,Non-Liegen
715,1536664745092,Non-Liegen
716,1536664755092,Non-Liegen
717,1536664765092,Non-Liegen
718,1536664775092,Non-Liegen
719,1536664785092,Non-Liegen
720,1536664795092,Non-Liegen
721,1536664805092,Non-Liegen
722,1536664815092,Non-Liegen
723,1536664825092,Non-Liegen
724,1536664835092,Non-Liegen
725,1536664845092,Non-Liegen
726,1536664855092,Non-Liegen
727,1536664865092,Non-Liegen
728,1536664875092,Non-Liegen
729,1536664885092,Non-Liegen
730,1536664895092,Non-Liegen
731,1536664905092,Non-Liegen
732,1536664915092,Non-Liegen
733,1536664925092,Non-Liegen
734,1536664935092,Non-Liegen
735,1536664945092,Non-Liegen
736,1536664955092,Non-Liegen
737,1536664965092,Non-Liegen
738,1536664975092,Non-Liegen
739,1536664985092,Non-Liegen
740,1536664995092,Non-Liegen
741,1536665005092,Non-Liegen
742,1536665015092,Non-Liegen
743,1536665025092,Non-Liegen
744,1536665035092,Non-Liegen
745,1536665045092,Non-Liegen
746,1536665055092,Non-Liegen
747,1536665065092,Non-Liegen
748,1536665075092,Non-Liegen
749,1536665085092,Non-Liegen
750,1536665095092,Non-Liegen
751,1536665105092,Non-Liegen
752,1536665115092,Non-Liegen
753,1536665125092,Non-Liegen
754,1536665135092,Non-Liegen
755,1536665145092,Non-Liegen
756,1536665155092,Non-Liegen
757,1536665165092,Non-Liegen
758,1536665175092,Liegen
759,1536665185092,Liegen
760,1536665195092,Liegen
761,1536665205092,Liegen
762,1536665215092,Non-Liegen
763,1536665225092,Non-Liegen
764,1536665235092,Non-Liegen
765,1536665245092,Non-Liegen
766,1536665255092,Non-Liegen
767,1536665265092,Non-Liegen
768,1536665275092,Non-Liegen
769,1536665285092,Non-Liegen
770,1536665295092,Non-Liegen
771,1536665305092,Non-Liegen
772,1536665315092,Non-Liegen
773,1536665325092,Liegen
774,1536665335092,Non-Liegen
775,1536665345092,Non-Liegen
776,1536665355092,Liegen
777,1536665365092,Non-Liegen
778,1536665375092,Liegen
779,1536665385092,Liegen
780,1536665395092,Liegen
781,1536665405092,Liegen
782,1536665415092,Liegen
783,1536665425092,Liegen
784,1536665435092,Liegen
785,1536665445092,Liegen
786,1536665455092,Liegen
787,1536665465092,Liegen
788,1536665475092,Liegen
789,1536665485092,Liegen
790,1536665495092,Liegen
791,1536665505092,Liegen
792,1536665515092,Non-Liegen
793,1536665525092,Liegen
794,1536665535092,Liegen
795,1536665545092,Liegen
796,1536665555092,Liegen
797,1536665565092,Non-Liegen
798,1536665575092,Liegen
799,1536665585092,Liegen
800,1536665595092,Liegen
801,1536665605092,Liegen
802,1536665615092,Liegen
803,1536665625092,Liegen
804,1536665635092,Liegen
805,1536665645092,Liegen
806,1536665655092,Liegen
807,1536665665092,Liegen
808,1536665675092,Liegen
809,1536665685092,Liegen
810,1536665695092,Liegen
811,1536665705092,Liegen
812,1536665715092,Liegen
813,1536665725092,Liegen
814,1536665735092,Liegen
815,1536665745092,Liegen
816,1536665755092,Liegen
817,1536665765092,Liegen
818,1536665775092,Liegen
819,1536665785092,Liegen
820,1536665795092,Liegen
821,1536665805092,Liegen
822,1536665815092,Liegen
823,1536665825092,Liegen
824,1536665835092,Liegen
825,1536665845092,Liegen
826,1536665855092,Liegen
827,1536665865092,Liegen
828,1536665875092,Liegen
829,1536665885092,Liegen
830,1536665895092,Liegen
831,1536665905092,Liegen
832,1536665915092,Liegen
833,1536665925092,Liegen
834,1536665935092,Non-Liegen
835,1536665945092,Liegen
836,1536665955092,Liegen
837,1536665965092,Liegen
838,1536665975092,Liegen
839,1536665985092,Liegen
840,1536665995092,Liegen
841,1536666005092,Liegen
842,1536666015092,Liegen
843,1536666025092,Liegen
844,1536666035092,Liegen
845,1536666045092,Liegen
846,1536666055092,Liegen
847,1536666065092,Liegen
848,1536666075092,Liegen
849,1536666085092,Liegen
850,1536666095092,Liegen
851,1536666105092,Liegen
852,1536666115092,Liegen
